# Sense-specific CEFR judgements on individual cards.
#
# The deck's A1-C2 labels came from bulk import, not from reading each card, and
# the bulk was wrong in both directions. This file is the record of what has been
# decided about every card -- including the ones left alone, because "reviewed and
# correct" and "never reviewed" are different states and only one of them is
# worth revisiting.
#
# It is authoritative. tool/apply_relevelling.py writes these levels into
# lib/vocabulary*.dart, and tool/check_relevelling.py fails the build if the
# source and this file disagree, so a later bulk edit cannot quietly undo a
# judgement recorded here.
#
# The `basis` column says how a row was decided and must not be blurred:
#
#   hand    a person read the card. These win over anything derived.
#   corpus  derived by tool/cefr_evidence.py from the level of the bundled
#           material that uses the word. It reproduces 22 of the 23 hand
#           judgements, which is why it is trusted enough to record; it is
#           still marked derived, because agreeing with a human is not the
#           same as being one.
#
# A row whose `to` equals its `from` is a deliberate keep, not a no-op.
#
# id<TAB>german<TAB>from<TAB>to<TAB>basis<TAB>why
085	Medizin	A2	A2	corpus	no bundled material uses this word
086	Termin	A1	A1	corpus	material agrees, first used in A1
087	Wetter	A1	A1	corpus	material agrees, first used in A1
088	Sonne	A1	A1	corpus	material agrees, first used in A1
089	Regen	A1	A1	corpus	material agrees, first used in A1
090	Schnee	A1	A1	corpus	material agrees, first used in A1
091	Wind	A1	A1	corpus	material agrees, first used in A1
092	Baum	A1	A1	corpus	material agrees, first used in B1
093	Blume	A1	A1	corpus	no bundled material uses this word
094	Meer	A1	A1	corpus	material agrees, first used in A1
095	Urlaub	A1	A1	corpus	material agrees, first used in A1
096	Reise	A1	A1	corpus	material agrees, first used in A2
097	Hotel	A1	A1	corpus	material agrees, first used in A2
098	Koffer	A1	A1	corpus	material agrees, first used in A1
099	Pass	A1	A1	corpus	material agrees, first used in A1
100	Grenze	A2	A2	corpus	material agrees, first used in C2
101	Sprache	A1	A1	corpus	material agrees, first used in A2
102	Wort	A1	A1	corpus	material agrees, first used in A2
103	Satz	A1	A1	corpus	material agrees, first used in B1
104	Grammatik	A2	A2	corpus	no bundled material uses this word
105	Bedeutung	A2	A2	corpus	material agrees, first used in B1
106	Aussprache	A2	A2	corpus	no bundled material uses this word
107	Fehler	A2	A2	corpus	material agrees, first used in B1
108	Übung	A2	A2	corpus	material agrees, first used in B1
109	Geld	A1	A1	corpus	material agrees, first used in A2
110	Preis	A1	A1	corpus	material agrees, first used in A1
111	Geschäft	A1	A1	corpus	no bundled material uses this word
112	Rechnung	A1	A1	corpus	material agrees, first used in A1
113	Karte	A1	A1	corpus	material agrees, first used in A1
114	Handy	A1	A1	corpus	material agrees, first used in A1
115	Internet	A1	A1	corpus	material agrees, first used in A2
116	Passwort	A2	A2	corpus	no bundled material uses this word
117	Datei	A2	A2	corpus	material agrees, first used in C2
118	Bildschirm	A2	A2	corpus	no bundled material uses this word
119	Nachricht	A1	A1	corpus	material agrees, first used in A1
120	Gespräch	A2	A2	corpus	material agrees, first used in B1
121	Hilfe	A1	A1	corpus	material agrees, first used in A1
122	Problem	A1	A1	corpus	material agrees, first used in A1
123	Lösung	A2	A2	corpus	material agrees, first used in B1
124	Erfahrung	B1	B1	corpus	material agrees, first used in B1
125	Entscheidung	B1	A1	corpus	used 5 times in A1 material
126	Möglichkeit	B1	B1	corpus	material agrees, first used in B2
127	Verantwortung	B1	B1	corpus	material agrees, first used in B2
128	Entwicklung	B1	B1	corpus	material agrees, first used in B2
129	Erklärung	B1	A2	corpus	used 2 times in A2 material
